Year,Zeitreihe,Value
2010,Jährliche Wachstumsrate des realen BIP pro Kopf,4.4
2011,Jährliche Wachstumsrate des realen BIP pro Kopf,3.9
2012,Jährliche Wachstumsrate des realen BIP pro Kopf,0.2
2013,Jährliche Wachstumsrate des realen BIP pro Kopf,0.2
2014,Jährliche Wachstumsrate des realen BIP pro Kopf,1.8
2015,Jährliche Wachstumsrate des realen BIP pro Kopf,0.6
2016,Jährliche Wachstumsrate des realen BIP pro Kopf,1.4
2017,Jährliche Wachstumsrate des realen BIP pro Kopf,2.2
2018,Jährliche Wachstumsrate des realen BIP pro Kopf,1.0
2019,Jährliche Wachstumsrate des realen BIP pro Kopf,0.3
