Year,Zeitreihe,Value
2010,Waldfläche,30.9
2011,Waldfläche,30.9
2012,Waldfläche,31.0
2013,Waldfläche,31.3
2014,Waldfläche,31.3
2015,Waldfläche,31.4
2016,Waldfläche,30.4
2017,Waldfläche,30.4
