Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,.,,,
2011,,,,0.002785
2012,r,,,0.003527
2013,r,,,0.003091
2014,r,,,0.003062
2015,r,,,0.003118
2016,r,,,0.001801
2017,r,,,0.003482
2018,r,,,0.005064
2019,r,,,0.00322
2020,r,,,0.002907
2021,r,,,0.00344
2022,,,,0.003989
2023,p,,,0.003324
2024,p,,,0.003877
