Year,Units,Art der Biomasse,COMMENT_OBS_0,Series,Value
2020,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,r,Gesamtbestand der obererdigen Biomasse in Wäldern,503.0
2021,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,p,Gesamtbestand der obererdigen Biomasse in Wäldern,504.0
2010,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,,Gesamtbestand der obererdigen Biomasse in Wäldern,243.8
2011,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,,Gesamtbestand der obererdigen Biomasse in Wäldern,246.0
2012,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,,Gesamtbestand der obererdigen Biomasse in Wäldern,248.0
2013,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,,Gesamtbestand der obererdigen Biomasse in Wäldern,250.0
2014,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,,Gesamtbestand der obererdigen Biomasse in Wäldern,254.0
2015,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,r,Gesamtbestand der obererdigen Biomasse in Wäldern,255.0
2016,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,r,Gesamtbestand der obererdigen Biomasse in Wäldern,257.0
2017,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,r,Gesamtbestand der obererdigen Biomasse in Wäldern,258.0
2018,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,r,Gesamtbestand der obererdigen Biomasse in Wäldern,259.0
2019,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,r,Gesamtbestand der obererdigen Biomasse in Wäldern,259.0
2020,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,r,Gesamtbestand der obererdigen Biomasse in Wäldern,260.0
2021,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,p,Gesamtbestand der obererdigen Biomasse in Wäldern,261.0
