Year,Series,Value
2010,Umsetzung sowie Fortschritte bei nationalen Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020,
2011,Umsetzung sowie Fortschritte bei nationalen Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020,
2012,Umsetzung sowie Fortschritte bei nationalen Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020,
2013,Umsetzung sowie Fortschritte bei nationalen Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020,
2014,Umsetzung sowie Fortschritte bei nationalen Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020,
2015,Umsetzung sowie Fortschritte bei nationalen Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020,
2016,Umsetzung sowie Fortschritte bei nationalen Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020,
2017,Umsetzung sowie Fortschritte bei nationalen Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020,
2018,Umsetzung sowie Fortschritte bei nationalen Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020,
2019,Umsetzung sowie Fortschritte bei nationalen Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020,0.6
2020,Umsetzung sowie Fortschritte bei nationalen Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020,
2021,Umsetzung sowie Fortschritte bei nationalen Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020,
2010,Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR),3.0
2011,Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR),3.0
2012,Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR),3.0
2013,Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR),3.0
2014,Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR),3.0
2015,Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR),3.0
2016,Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR),3.0
2017,Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR),3.0
2018,Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR),3.0
2019,Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR),3.0
2020,Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR),3.0
2021,Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR),3.0
