Year,Zeitreihe,Value
2010,Durchschnitt der 13 IGV-Kapazitäten-Punktwerte,81
2011,Durchschnitt der 13 IGV-Kapazitäten-Punktwerte,86
2012,Durchschnitt der 13 IGV-Kapazitäten-Punktwerte,92
2014,Durchschnitt der 13 IGV-Kapazitäten-Punktwerte,99
2017,Durchschnitt der 13 IGV-Kapazitäten-Punktwerte,97
