Year,Value,Units,Series
2010,,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2011,,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2012,,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2013,113.0,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2014,112.2,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2015,83.25,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2016,60.5,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2017,63.0,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2018,62.0,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2019,57.0,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2020,55.5,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2021,43.5,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2022,57.5,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2023,45.5,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2010,61.6,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2011,61.4,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2012,56.6,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2013,56.4,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2014,59.5,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2015,59.0,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2016,59.1,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2017,58.9,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2018,55.8,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2019,51.2,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2020,50.0,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2021,48.5,Prozent,Plastikmüll in Mägen von Eissturmvögeln
