Year,Value,Units
2010,,1 000 Tonnen
2011,,1 000 Tonnen
2012,,1 000 Tonnen
2013,,1 000 Tonnen
2014,,1 000 Tonnen
2015,,1 000 Tonnen
2016,,1 000 Tonnen
2017,,1 000 Tonnen
2018,,1 000 Tonnen
2019,,1 000 Tonnen
2020,9147.0,1 000 Tonnen
2021,9214.0,1 000 Tonnen
2022,9040.0,1 000 Tonnen
2023,8859.0,1 000 Tonnen
2010,,Kilogramm pro Kopf
2011,,Kilogramm pro Kopf
2012,,Kilogramm pro Kopf
2013,,Kilogramm pro Kopf
2014,,Kilogramm pro Kopf
2015,,Kilogramm pro Kopf
2016,,Kilogramm pro Kopf
2017,,Kilogramm pro Kopf
2018,,Kilogramm pro Kopf
2019,,Kilogramm pro Kopf
2020,110.0,Kilogramm pro Kopf
2021,110.0,Kilogramm pro Kopf
2023,106.0,Kilogramm pro Kopf
