Year,Value,Units
2014,,Millionen EUR
2021,9733.3,Millionen EUR
2022,12610.09,Millionen EUR
2023,32634.39,Millionen EUR
2024,,Millionen EUR
2021,0.271,Prozent
2022,0.336,Prozent
2023,0.825,Prozent
2024,,Prozent
