Year,Value,Units
2010,4,Anzahl
2011,3,Anzahl
2014,1,Anzahl
2016,2,Anzahl
2017,1,Anzahl
2018,3,Anzahl
2019,2,Anzahl
2020,2,Anzahl
2022,1,Anzahl
2010,16496964,EUR
2011,21853518,EUR
2014,100000,EUR
2016,2820800,EUR
2017,2250000,EUR
2018,42913917,EUR
2019,59797152,EUR
2020,14496867,EUR
2022,48424007,EUR
