Year,Value,Units,Series
2015,92.2,Prozent,a) Index der Grünbedeckung in Gebirgen
2018,92.15,Prozent,a) Index der Grünbedeckung in Gebirgen
2017,,Hektar,b) Anteil der degradierten Gebirgsfläche
2018,0.05,Hektar,b) Anteil der degradierten Gebirgsfläche
2019,,Hektar,b) Anteil der degradierten Gebirgsfläche
