Year,Value,Units,Series
2010,244.0,Kilogramm pro Kopf,a) Aufkommen gefährlicher Abfälle
2012,273.0,Kilogramm pro Kopf,a) Aufkommen gefährlicher Abfälle
2014,269.0,Kilogramm pro Kopf,a) Aufkommen gefährlicher Abfälle
2016,280.0,Kilogramm pro Kopf,a) Aufkommen gefährlicher Abfälle
2018,292.0,Kilogramm pro Kopf,a) Aufkommen gefährlicher Abfälle
2020,282.0,Kilogramm pro Kopf,a) Aufkommen gefährlicher Abfälle
2010,100.0,Prozent,b) Behandelte gefährliche Abfälle
2012,100.0,Prozent,b) Behandelte gefährliche Abfälle
2014,100.0,Prozent,b) Behandelte gefährliche Abfälle
2016,100.0,Prozent,b) Behandelte gefährliche Abfälle
2018,100.0,Prozent,b) Behandelte gefährliche Abfälle
2020,100.0,Prozent,b) Behandelte gefährliche Abfälle
2022,100.0,Prozent,b) Behandelte gefährliche Abfälle
