Year,Value,Units
2018,22965.0,Anzahl
2019,22236.0,Anzahl
2020,21994.0,Anzahl
2021,22095.0,Anzahl
2022,27757.0,Anzahl
2023,28890.0,Anzahl
2024,30147.0,Anzahl
2025,30204.0,Anzahl
2025,82.36,Je 100 000 Einwohnerinnen
2018,0.06,Prozent
2019,0.06,Prozent
2020,0.06,Prozent
2021,0.06,Prozent
2022,0.08,Prozent
2023,0.08,Prozent
2024,0.08,Prozent
2025,0.08,Prozent
