Year,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2003-2006,,,,,1.5
2014-2017,,,,,1.7
2003-2006,male,,,,1.3
2014-2017,male,,,,1.2
2003-2006,female,,,,1.6
2014-2017,female,,,,2.2
