Year,Units,Zeitreihe,Value
2010,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",71.87
2011,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",71.87
2012,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",71.9
2013,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",71.9
2014,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",71.99
2015,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",71.99
2016,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",72.06
2017,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",72.06
2018,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",72.07
2019,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",72.87
2020,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",74.37
2021,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",74.37
2022,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",74.37
2010,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",1112350.172
2011,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",1112476.445
2012,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",1112848.397
2013,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",1112884.662
2014,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",1114192.784
2015,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",1114193.078
2016,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",1115404.3
2017,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",1115404.3
2018,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",1115419.061
