Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,r,,,0.57
2011,r,,,0.49
2012,r,,,0.5
2013,r,,,0.47
2014,r,,,0.51
2015,r,,,0.6
2016,r,,,0.57
2017,r,,,0.49
2018,r,,,0.58
2019,r,,,0.5
2020,p,,,0.46
2021,p,,,0.45
2022,p,,,0.33
2023,p,,,0.51
