Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,4089
2011,,,,4216
2012,r,,,4381
2013,r,,,4398
2014,r,,,4349
2015,r,,,4745
2016,r,,,4875
2017,r,,,5110
2018,r,,,5276
2019,r,,,5483
2020,r,,,5494
2021,r,,,5634
2022,r,,,5847
2023,r,,,5993
2024,p,,,6139
