Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,43.7
2011,,,,44.4
2012,,,,45.0
2013,r,,,45.2
2014,,,,45.2
2015,r,,,45.3
2016,r,,,45.7
2017,r,,,45.7
2018,r,,,46.3
2019,r,,,46.6
2020,r,,,46.4
2021,r,,,47.1
2022,,,,46.5
2023,p,,,45.5
2024,p,,,46.2
2025,p,,,47.2
