Year,Units,mode of transport,Series,Value
2016,million tonne-kilometres,air transport,freight transport,1519.0
2017,million tonne-kilometres,air transport,freight transport,1617.0
2018,million tonne-kilometres,air transport,freight transport,1637.0
2019,million tonne-kilometres,air transport,freight transport,1587.0
2020,million tonne-kilometres,air transport,freight transport,1546.0
2021,million tonne-kilometres,air transport,freight transport,1790.0
2010,million tonne-kilometres,pipelines: crude oil,freight transport,16259.0
2011,million tonne-kilometres,pipelines: crude oil,freight transport,15623.0
2012,million tonne-kilometres,pipelines: crude oil,freight transport,16207.0
2013,million tonne-kilometres,pipelines: crude oil,freight transport,18180.0
2014,million tonne-kilometres,pipelines: crude oil,freight transport,17541.0
2015,million tonne-kilometres,pipelines: crude oil,freight transport,17714.0
2016,million tonne-kilometres,pipelines: crude oil,freight transport,18761.0
2017,million tonne-kilometres,pipelines: crude oil,freight transport,18239.0
2018,million tonne-kilometres,pipelines: crude oil,freight transport,17234.0
2019,million tonne-kilometres,pipelines: crude oil,freight transport,17649.0
2020,million tonne-kilometres,pipelines: crude oil,freight transport,16686.0
2021,million tonne-kilometres,pipelines: crude oil,freight transport,15738.0
