Year,Time series,Sex,Value
2014-2017,Overweight,,3.2
2014-2017,Overweight,Female,0.7
2014-2017,Overweight,Male,5.9
2014-2017,Wasting,,0.3
2014-2017,Wasting,Female,0.7
