Year,Time series,Value
2010,Gross value added of small-scale industries in manufacturing,8.9
2011,Gross value added of small-scale industries in manufacturing,9.0
2012,Gross value added of small-scale industries in manufacturing,8.2
2013,Gross value added of small-scale industries in manufacturing,8.3
2014,Gross value added of small-scale industries in manufacturing,7.8
2015,Gross value added of small-scale industries in manufacturing,7.3
2016,Gross value added of small-scale industries in manufacturing,7.0
2017,Gross value added of small-scale industries in manufacturing,6.8
