Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,.,,,
2011,r,,,0.002779
2012,r,,,0.003521
2013,r,,,0.003088
2014,r,,,0.003066
2015,r,,,0.003126
2016,r,,,0.001806
2017,r,,,0.003499
2018,r,,,0.005088
2019,r,,,0.003636
2020,r,,,0.002929
2021,r,,,0.00317
2022,p,,,0.004011
2023,p,,,0.003385
