Year,Time series,Value
2010,Mortality due to road traffic accidents,4.5
2011,Mortality due to road traffic accidents,5.0
2012,Mortality due to road traffic accidents,4.5
2013,Mortality due to road traffic accidents,4.1
2014,Mortality due to road traffic accidents,4.2
2015,Mortality due to road traffic accidents,4.2
2016,Mortality due to road traffic accidents,3.9
2017,Mortality due to road traffic accidents,3.9
2018,Mortality due to road traffic accidents,3.9
