Year,Time series,Value
2010,Neonatal mortality rate,2.3
2011,Neonatal mortality rate,2.4
2012,Neonatal mortality rate,2.2
2013,Neonatal mortality rate,2.2
2014,Neonatal mortality rate,2.2
2015,Neonatal mortality rate,2.3
2016,Neonatal mortality rate,2.4
2017,Neonatal mortality rate,2.3
