Year,Type of ICT competence,Age group,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",16 to under 25 years,.,,,
2011,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",16 to under 25 years,,,,67.0
2012,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",16 to under 25 years,,,,57.0
2013,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",16 to under 25 years,.,,,
2014,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",16 to under 25 years,,,,67.0
2015,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",16 to under 25 years,.,,,
2016,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",16 to under 25 years,.,,,
2017,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",16 to under 25 years,.,,,
2018,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",16 to under 25 years,.,,,
2019,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",16 to under 25 years,.,,,
2020,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",16 to under 25 years,.,,,
2021,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",16 to under 25 years,.,,,47.1
2022,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",16 to under 25 years,.,,,
2023,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",16 to under 25 years,.,,,44.0
2024,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",16 to under 25 years,.,,,
2025,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",16 to under 25 years,,,,44.1
2010,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,.,,,
2011,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,.,,,
2012,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,.,,,
2013,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,.,,,
2014,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,.,,,
2015,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,,,,35.0
2016,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,,,,34.0
2017,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,,,,36.0
2018,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,.,,,
2019,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,,,,34.0
2020,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,.,,,
2021,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,|,,,33.2
2022,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,.,,,
2023,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,,,,29.8
2024,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,.,,,
2025,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,,,,28.2
2010,Copying or moving of files and folders,25 to under 65 years,.,,,
2011,Copying or moving of files and folders,25 to under 65 years,,,,76.0
2012,Copying or moving of files and folders,25 to under 65 years,,,,71.0
2013,Copying or moving of files and folders,25 to under 65 years,.,,,
2014,Copying or moving of files and folders,25 to under 65 years,,,,80.0
2015,Copying or moving of files and folders,25 to under 65 years,,,,72.0
2016,Copying or moving of files and folders,25 to under 65 years,,,,72.0
2017,Copying or moving of files and folders,25 to under 65 years,,,,73.0
2018,Copying or moving of files and folders,25 to under 65 years,.,,,
2019,Copying or moving of files and folders,25 to under 65 years,,,,75.0
2020,Copying or moving of files and folders,25 to under 65 years,.,,,
2021,Copying or moving of files and folders,25 to under 65 years,.,,,
2022,Copying or moving of files and folders,25 to under 65 years,.,,,
2023,Copying or moving of files and folders,25 to under 65 years,.,,,
2024,Copying or moving of files and folders,25 to under 65 years,.,,,
2025,Copying or moving of files and folders,25 to under 65 years,.,,,
2010,Using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,.,,,
2011,Using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,,,,74.0
2012,Using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,,,,69.0
2013,Using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,.,,,
2014,Using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,,,,77.0
2015,Using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,.,,,
2016,Using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,.,,,
2017,Using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,.,,,
2018,Using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,.,,,
2019,Using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,.,,,
2020,Using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,.,,,
2021,Using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,.,,,
2022,Using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,.,,,
2023,Using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,.,,,
2024,Using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,.,,,
2025,Using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,.,,,
2010,Writing code in a programming language,25 to under 65 years,.,,,
2011,Writing code in a programming language,25 to under 65 years,.,,,
2012,Writing code in a programming language,25 to under 65 years,.,,,
2013,Writing code in a programming language,25 to under 65 years,.,,,
2014,Writing code in a programming language,25 to under 65 years,.,,,
2015,Writing code in a programming language,25 to under 65 years,,,,6.0
2016,Writing code in a programming language,25 to under 65 years,,,,5.0
2017,Writing code in a programming language,25 to under 65 years,,,,5.0
2018,Writing code in a programming language,25 to under 65 years,.,,,
2019,Writing code in a programming language,25 to under 65 years,,,,5.0
2020,Writing code in a programming language,25 to under 65 years,.,,,
2021,Writing code in a programming language,25 to under 65 years,|,,,4.5
2022,Writing code in a programming language,25 to under 65 years,.,,,
2023,Writing code in a programming language,25 to under 65 years,,,,5.8
2024,Writing code in a programming language,25 to under 65 years,.,,,
2025,Writing code in a programming language,25 to under 65 years,,,,6.4
2010,"Connecting and installing new devices, eg a printer or a modem",25 to under 65 years,.,,,
2011,"Connecting and installing new devices, eg a printer or a modem",25 to under 65 years,,,,47.0
2012,"Connecting and installing new devices, eg a printer or a modem",25 to under 65 years,,,,48.0
2013,"Connecting and installing new devices, eg a printer or a modem",25 to under 65 years,.,,,
2014,"Connecting and installing new devices, eg a printer or a modem",25 to under 65 years,,,,53.0
2015,"Connecting and installing new devices, eg a printer or a modem",25 to under 65 years,.,,,
2016,"Connecting and installing new devices, eg a printer or a modem",25 to under 65 years,.,,,
2017,"Connecting and installing new devices, eg a printer or a modem",25 to under 65 years,.,,,
2018,"Connecting and installing new devices, eg a printer or a modem",25 to under 65 years,.,,,
2019,"Connecting and installing new devices, eg a printer or a modem",25 to under 65 years,.,,,
2020,"Connecting and installing new devices, eg a printer or a modem",25 to under 65 years,.,,,
2021,"Connecting and installing new devices, eg a printer or a modem",25 to under 65 years,.,,,
2022,"Connecting and installing new devices, eg a printer or a modem",25 to under 65 years,.,,,
2023,"Connecting and installing new devices, eg a printer or a modem",25 to under 65 years,.,,,
2024,"Connecting and installing new devices, eg a printer or a modem",25 to under 65 years,.,,,
2025,"Connecting and installing new devices, eg a printer or a modem",25 to under 65 years,.,,,
2010,Transferring files between computer and other devices,25 to under 65 years,.,,,
2011,Transferring files between computer and other devices,25 to under 65 years,,,,63.0
2012,Transferring files between computer and other devices,25 to under 65 years,,,,61.0
2013,Transferring files between computer and other devices,25 to under 65 years,.,,,
2014,Transferring files between computer and other devices,25 to under 65 years,,,,68.0
2015,Transferring files between computer and other devices,25 to under 65 years,,,,63.0
2016,Transferring files between computer and other devices,25 to under 65 years,,,,65.0
2017,Transferring files between computer and other devices,25 to under 65 years,,,,66.0
2018,Transferring files between computer and other devices,25 to under 65 years,.,,,
2019,Transferring files between computer and other devices,25 to under 65 years,,,,69.0
2020,Transferring files between computer and other devices,25 to under 65 years,.,,,
2021,Transferring files between computer and other devices,25 to under 65 years,|,,,54.7
2022,Transferring files between computer and other devices,25 to under 65 years,.,,,
2023,Transferring files between computer and other devices,25 to under 65 years,,,,62.3
2024,Transferring files between computer and other devices,25 to under 65 years,.,,,
2025,Transferring files between computer and other devices,25 to under 65 years,,,,63.4
2010,Installing software or apps,25 to under 65 years,.,,,
2011,Installing software or apps,25 to under 65 years,.,,,
2012,Installing software or apps,25 to under 65 years,.,,,
2013,Installing software or apps,25 to under 65 years,.,,,
