Year,Time series,Value
2010,Manufacturing persons employed,17.39
2011,Manufacturing persons employed,17.54
2012,Manufacturing persons employed,17.64
2013,Manufacturing persons employed,17.56
2014,Manufacturing persons employed,17.51
2015,Manufacturing persons employed,17.41
2016,Manufacturing persons employed,17.25
2017,Manufacturing persons employed,17.16
2018,Manufacturing persons employed,17.22
2019,Manufacturing persons employed,17.16
