Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,-,,,
2011,-,,,
2012,-,,,
2013,-,,,
2014,-,,,
2015,,,,0.38
2016,,,,0.38
2017,,,,0.38
2018,,,,0.38
2019,,,,0.38
2020,,,,0.38
2021,,,,0.38
2022,,,,0.38
