Year,Units,Sector,Type of financial flow,Type of Official Development Assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,"Million USD, constant prices (2024)",Communications,Other Official Flows,Gross disbursements,,,,28.915
2021,"Million USD, constant prices (2024)",Communications,Other Official Flows,Gross disbursements,,,,26.363
2022,"Million USD, constant prices (2024)",Communications,Other Official Flows,Gross disbursements,,,,60.407
2023,"Million USD, constant prices (2024)",Communications,Other Official Flows,Gross disbursements,.,,,
2024,"Million USD, constant prices (2024)",Communications,Other Official Flows,Gross disbursements,.,,,
2010,"Million USD, constant prices (2024)",Energy,Other Official Flows,Gross disbursements,.,,,
2011,"Million USD, constant prices (2024)",Energy,Other Official Flows,Gross disbursements,.,,,
2012,"Million USD, constant prices (2024)",Energy,Other Official Flows,Gross disbursements,.,,,
2013,"Million USD, constant prices (2024)",Energy,Other Official Flows,Gross disbursements,.,,,
2014,"Million USD, constant prices (2024)",Energy,Other Official Flows,Gross disbursements,.,,,
2015,"Million USD, constant prices (2024)",Energy,Other Official Flows,Gross disbursements,.,,,
2016,"Million USD, constant prices (2024)",Energy,Other Official Flows,Gross disbursements,.,,,
2017,"Million USD, constant prices (2024)",Energy,Other Official Flows,Gross disbursements,.,,,
2018,"Million USD, constant prices (2024)",Energy,Other Official Flows,Gross disbursements,,,,208.3
2019,"Million USD, constant prices (2024)",Energy,Other Official Flows,Gross disbursements,,,,193.815
2020,"Million USD, constant prices (2024)",Energy,Other Official Flows,Gross disbursements,,,,122.965
2021,"Million USD, constant prices (2024)",Energy,Other Official Flows,Gross disbursements,,,,113.356
2022,"Million USD, constant prices (2024)",Energy,Other Official Flows,Gross disbursements,,,,210.515
2023,"Million USD, constant prices (2024)",Energy,Other Official Flows,Gross disbursements,,,,32.606
2024,"Million USD, constant prices (2024)",Energy,Other Official Flows,Gross disbursements,,,,152.536
2010,"Million USD, constant prices (2024)",Urban development and management,Other Official Flows,Gross disbursements,.,,,
2011,"Million USD, constant prices (2024)",Urban development and management,Other Official Flows,Gross disbursements,.,,,
2012,"Million USD, constant prices (2024)",Urban development and management,Other Official Flows,Gross disbursements,.,,,
2013,"Million USD, constant prices (2024)",Urban development and management,Other Official Flows,Gross disbursements,.,,,
2014,"Million USD, constant prices (2024)",Urban development and management,Other Official Flows,Gross disbursements,.,,,
2015,"Million USD, constant prices (2024)",Urban development and management,Other Official Flows,Gross disbursements,.,,,
2016,"Million USD, constant prices (2024)",Urban development and management,Other Official Flows,Gross disbursements,.,,,
2017,"Million USD, constant prices (2024)",Urban development and management,Other Official Flows,Gross disbursements,.,,,
2018,"Million USD, constant prices (2024)",Urban development and management,Other Official Flows,Gross disbursements,.,,,
2019,"Million USD, constant prices (2024)",Urban development and management,Other Official Flows,Gross disbursements,.,,,
2020,"Million USD, constant prices (2024)",Urban development and management,Other Official Flows,Gross disbursements,.,,,
2021,"Million USD, constant prices (2024)",Urban development and management,Other Official Flows,Gross disbursements,.,,,
2022,"Million USD, constant prices (2024)",Urban development and management,Other Official Flows,Gross disbursements,.,,,
2023,"Million USD, constant prices (2024)",Urban development and management,Other Official Flows,Gross disbursements,.,,,
2024,"Million USD, constant prices (2024)",Urban development and management,Other Official Flows,Gross disbursements,.,,,
