Year,Time series,Value
2010,Tuberculosis incidence,5.37
2011,Tuberculosis incidence,5.27
2012,Tuberculosis incidence,5.24
2013,Tuberculosis incidence,5.38
2014,Tuberculosis incidence,5.58
2015,Tuberculosis incidence,7.1
2016,Tuberculosis incidence,7.18
2017,Tuberculosis incidence,6.63
2018,Tuberculosis incidence,6.55
