Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,4.21
2011,.,,,
2012,.,,,
2013,.,,,
2014,.,,,
2015,|,,,4.06
2016,,,,4.0
2017,,,,3.99
2018,,,,3.97
2019,,,,3.85
2020,,,,2.35
2021,r,,,1.99
2022,,,,2.57
