Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,50.5
2011,,,,50.2
2012,,,,51.2
2013,r,,,51.4
2014,r,,,51.4
2015,r,,,51.7
2016,r,,,51.8
2017,r,,,51.9
2018,r,,,52.8
2019,r,,,53.5
2020,r,,,54.6
2021,r,,,53.0
2022,,,,52.0
2023,p,,,52.5
2024,p,,,53.8
2025,p,,,54.6
