Year,Units,Geschlecht,Altersklasse,Form der Ausbeutung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2023,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,|,,,0.124
2024,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.059
2010,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.077
2011,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.02
2012,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,|,,,0.012
2013,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.119
2014,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.056
2015,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.11
2016,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.084
2017,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.378
2018,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.132
2019,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.059
2020,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.134
2021,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.18
2022,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,1.819
2023,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,|,,,0.31
2024,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.352
2010,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2011,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2012,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2013,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2014,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2015,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2016,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2017,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2018,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2019,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2020,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2021,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2022,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2023,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2024,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2010,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.746
2011,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.782
2012,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,|,,,0.748
2013,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.673
2014,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.69
2015,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.512
2016,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.594
2017,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.593
2018,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.519
2019,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.514
2020,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.488
2021,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.501
2022,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.572
2023,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,|,,,0.507
2024,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.557
2010,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.127
